LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT,Aramaic
Ugaritic,article,harris1938,"Harris, Z. S.",,Expression of the Causative in Ugaritic,1938,,,,103-111,,,Journal of the American Oriental Society,58,1,,,,,,
Semitic,article,goetze1942,"Goetze, Albrecht",,The So-Called Intensive of the Semitic Languages,1942,,,,1-8,,,Journal of the American Oriental Society,62,1,,,,https://doi.org/10.2307/594095,,
Semitic,article,kienast1957,"Kienast, B.",,Der Präfixvokal u im Kausativ und im D-Stamm des Semitischen,1957,,,,104-108,,,Münchener Studien zur Sprachwissenschaft,11,,,,,,,
,book,moscatietal1964,"Moscati, S. and von Soden, W. and Ullendorff, E. and Spitaler, A.",,An Introduction to the Comparative Grammar of the Semitic Languages: Phonology and Morphology,1964,,Harrassowitz Verlag,Wiesbaden,,,,,,,,,,,,
Semitic,article,rundgren1966,"Rundgren, F.",,Das Verbalpräfix yu- im Semitischen und die Entstehung der faktitiv-kausativen Bedeutung des D-Stammes,1966,,,,133-143,,,Die Sprache,12,,,,,,,
Hebrew,article,hillers1967,"Hillers, D.R.",,Delocutive verbs in biblical Hebrew,1967,,,,320-324,,,Journal of Biblical Literature,86,3,,,,,,
Hebrew,book,jenni1968,"Jenni, Ernst",,Das hebräische Pi‘el: Syntaktisch-semasiologische Untersuchungen einer Verbalform im Alten Testament,1968,,EVZ-Verl.,Zürich,,,,,,,,,,,,
Semitic,incollection,goshengottstein1969,"Goshen-Gottstein, M. H.",,The System of Verbal Stems in the Classical Semitic Languages,1969,,Jerusalem,Israel Academy of Sciences and Humanities,70-91,"Proceedings of the International Conference on Semitic Studies held in Jerusalem, 19–23 July 1965",,,,,,,,,,
"Hebrew, Aramaic",article,rabin1969,"Rabin, Chaim",,The Nature and Origin of the Šafˁel in Hebrew and Aramaic,1969,,,,148-158,,,Eretz Israel,9,,,in Hebrew,,,,yes
Western Semitic,book,ryder1974,"Ryder, Stuart A.",,The D-Stem in Western Semitic,1974,,Mouton,The Hague,,,,,,,,,,,,
Koranic Arabic,book,leemhuis1977,"Leemhuis, Frederik",,The D and H stems in Koranic Arabic: A Comparative Study of the Function and Meaning of the Faʺala and ʹafʹala Forms in Koranic Usage,1977,,Brill,Leiden,,,,,,,,,,,,
Hebrew,book,berman1978,"Berman, Ruth",,Modern Hebrew structure,1978,,University of Tel Aviv Publishing Projects,Tel Aviv,,,,,,,,,,,,
Semitic,incollection,sasse1980,"Sasse, Hans-Jürgen","Spitaler, A. and Diem, W. and Wild, S.",Ostkuschitische und semitische Verbalklassen,1980,,Otto Harrassowitz Verlag,Wiesbaden,153-174,Studien zur Arabistik und Semitistik: Anton Spitaler zum 70. Geburtstag von seinem Schülern überreicht,,,,,,,,,,
