FIELD,TOPIC,LANGUAGE,CATEGORY,BIBTEXKEY,AUTHOR,EDITOR,TITLE,YEAR,TITLE_TRANSLATION,PUBLISHER,ADDRESS,PAGES,BOOKTITLE,BOOKTITLE_TRANSLATION,JOURNAL,VOLUME,NUMBER,SCHOOL,NOTE,URL,DOI,ABSTRACT
linguistics,valency,,book,tesniуre1959,"Tesnière, Lucien",,Éléments de syntaxe structurale,1959,,Klincksieck,Paris,,,,,,,,,,,
linguistics,causation,Japanese,article,kurodo1965,"Kurodo, S. Y.",,Causative Forms in Japanese,1965,,,,30-50,,,Foundations of Language,1,,,,,,
linguistics,causation,,incollection,lakoff1968,"Lakoff, George","Kuno, S.","Some Verbs of Change and Causation",1968,,Harvard University Press,"Cambridge, MA",1-27,"Mathematical linguistics and automatic translation, Report NSF-20",,,,,,,,,
linguistics,argument structure,,incollection,fillmore1968,"Fillmore, Charles J.","Bach, E. and Harms, R. T.",The case for case,1968,,"Holt, Rinehart and Winston",New York,1-88,Universals in Linguistic Theory,,,,,,,,https://doi.org/10.1016/0141-9331(86)90222-X,
"linguistics, linguistic typology",causation,,incollection,nedyalkov1969,"Недялков, Владимир Петрович","Вардуль, Игорь Фридрихович ",Некоторые вероятностные универсалии в глагольном словообразовании,1969,Some probabilistic universals in verbal word-formation,Наука,Москва,106-114,Языковые универсалии и лингвистическая типология,Language universals and linguistic typology,,,,,,,,
"linguistics, linguistic typology",causation,,incollection,nedyalkovsilnitskiy1969a,"Недялков, Владимир Петрович and Сильницкий, Георгий Георгиевич","Холодович, Александр Алексеевич",Типология каузативных конструкций,1969,The Typology of Causative Constructions,Наука,Ленинград,5-19,Типология каузативных конструкций: морфологический каузатив,The Typology of Causative Constructions: The Morphological Causative,,,,,,,,
"linguistics, linguistic typology",causation,,incollection,nedyalkovsilnitskiy1969b,"Недялков, Владимир Петрович and Сильницкий, Георгий Георгиевич","Холодович, Александр Алексеевич",Типология морфологического и лексического каузативов,1969,The Typology of Causative Constructions,Наука,Ленинград,20-50,Типология каузативных конструкций: морфологический каузатив,The Typology of Causative Constructions: The Morphological Causative,,,,,,,,
"linguistics, linguistic typology",causation,,book,xolodovic1969,,"Холодович, Александр Алексеевич",Типология каузативных конструкций: морфологический каузатив,1969,The Typology of Causative Constructions: The Morphological Causative,Наука,Ленинград,311 с.,,,,,,,,,,
"linguistics, semantics, syntax",argument structure,English,incollection,fillmore1970,"Fillmore, Charles J.","Jacobs, R. A. and Rosenbaum, P. A.  ",The grammar of hitting and breaking,1970,,Ginn,"Waltham, Mass",120-133,Readings in English transformational grammar,,,,,,,,,
"linguistics, semantics, syntax","argument structure, event structure",English,article,fodor1970,"Fodor, Jerry Alan",,"Three Reasons for Not Deriving ""Kill"" from ""Cause to Die""",1970,,,,429-438,,,Linguistic Inquiry,1,4,,,,,
